text,intent,time,food_item,location
"Hey, Order food for me",order,10 PM,sandwich,city center
Hi please,greeting,6 PM,pasta,downtown
"Excuse me, Cancel my order right now",cancel,9 PM,biryani,downtown
Hello please,greeting,10 PM,pasta,downtown
"Hi, I don’t need my order anymore",cancel,8 PM,pizza,city center
"Hey, What is on the menu? right now",query,7 PM,pizza,city center
"Hi, What are your timings? right now",query,8 PM,burger,downtown
"Hi, Do you offer delivery? please",query,10 PM,biryani,city center
"Hi, My order is late",complaint,9 PM,burger,main road
"Excuse me, Reserve a table tonight right now",reservation,7 PM,pizza,city center
"Hey, Table for 4 at 8 PM",reservation,8 PM,pasta,downtown
What is on the menu?,query,10 PM,pasta,downtown
"Hello, Table for 4 at 8 PM",reservation,10 PM,burger,downtown
"Hey, Do you offer delivery? please",query,6 PM,pasta,downtown
"Excuse me, What is on the menu? right now",query,6 PM,burger,city center
Cancel my booking right now,cancel,8 PM,pasta,near mall
"Excuse me, Hey right now",greeting,7 PM,burger,near mall
"Excuse me, Cancel my order right now",cancel,7 PM,pasta,city center
"Hello, What is on the menu? please",query,7 PM,pasta,main road
"Hello, Book a seat for dinner quickly",reservation,8 PM,biryani,downtown
"Hello, I want to order pizza quickly",order,9 PM,pizza,main road
"Hello, What is on the menu? right now",query,9 PM,biryani,main road
"Excuse me, What is on the menu?",query,8 PM,biryani,near mall
Book a table for 2 right now,reservation,8 PM,sandwich,main road
"Hello, Good evening right now",greeting,7 PM,biryani,main road
"Hi, I don’t need my order anymore please",cancel,9 PM,sandwich,city center
"Hello, Order food for me please",order,6 PM,burger,main road
"Hi, I want to order pizza please",order,7 PM,pasta,city center
"Hey, Send me a burger",order,10 PM,sandwich,main road
"Hey, I want chicken biryani right now",order,7 PM,burger,main road
"Hi, Table for 4 at 8 PM right now",reservation,9 PM,burger,downtown
"Hey, Good evening right now",greeting,10 PM,pizza,downtown
"Hi, This is disappointing please",complaint,6 PM,pasta,city center
"Hi, Order food for me please",order,10 PM,pasta,near mall
"Excuse me, Reserve a table tonight",reservation,6 PM,biryani,city center
I want to order pizza please,order,6 PM,sandwich,downtown
"Hey, Cancel my booking",cancel,10 PM,burger,downtown
"Excuse me, Good evening right now",greeting,6 PM,pasta,downtown
"Excuse me, Cancel my booking quickly",cancel,7 PM,burger,downtown
Where are you located? please,query,10 PM,sandwich,main road
"Hi, I need a reservation",reservation,8 PM,sandwich,main road
Hello,greeting,6 PM,biryani,near mall
"Hey, Hello please",greeting,6 PM,pizza,downtown
"Excuse me, I need a reservation please",reservation,6 PM,pasta,main road
"Hello, Cancel my order quickly",cancel,7 PM,pasta,downtown
Where are you located? right now,query,10 PM,burger,near mall
"Hi, Hi right now",greeting,6 PM,biryani,downtown
"Hi, Hi quickly",greeting,9 PM,pasta,city center
"Hello, I don’t need my order anymore right now",cancel,6 PM,burger,city center
I don’t need my order anymore right now,cancel,10 PM,burger,main road
"Hello, I need a reservation",reservation,6 PM,pizza,city center
"Hey, I’d like to place an order please",order,10 PM,sandwich,downtown
"Hey, Hello quickly",greeting,9 PM,burger,city center
"Hi, Book a table for 2",reservation,7 PM,biryani,downtown
"Hello, What is on the menu?",query,6 PM,pizza,downtown
"Hi, I’d like to place an order right now",order,9 PM,biryani,downtown
What are your timings? quickly,query,6 PM,biryani,main road
I need a reservation quickly,reservation,7 PM,pasta,main road
"Hello, My order is late please",complaint,8 PM,biryani,near mall
"Hey, This is disappointing please",complaint,8 PM,sandwich,main road
Food quality is bad quickly,complaint,6 PM,burger,downtown
"Excuse me, I want chicken biryani",order,8 PM,pizza,city center
"Excuse me, Reserve a table tonight",reservation,8 PM,biryani,main road
"Excuse me, Where are you located? right now",query,10 PM,pasta,city center
What is on the menu? right now,query,8 PM,biryani,downtown
"Excuse me, Hey",greeting,9 PM,burger,near mall
Do you offer delivery?,query,8 PM,biryani,near mall
"Hi, I need a reservation right now",reservation,6 PM,sandwich,main road
"Excuse me, My order is late quickly",complaint,8 PM,burger,near mall
"Excuse me, I want to cancel reservation",cancel,7 PM,burger,city center
"Hello, Good evening please",greeting,7 PM,pasta,near mall
"Hello, Where are you located? right now",query,8 PM,sandwich,near mall
Cancel my booking right now,cancel,8 PM,biryani,city center
Cancel my booking right now,cancel,7 PM,biryani,downtown
"Excuse me, Hi right now",greeting,10 PM,biryani,downtown
"Hi, Hi right now",greeting,6 PM,pasta,city center
"Hey, I want to order pizza please",order,10 PM,sandwich,downtown
"Hey, My order is late quickly",complaint,8 PM,biryani,city center
"Excuse me, Book a table for 2 right now",reservation,7 PM,burger,near mall
"Hi, Book a table for 2 please",reservation,10 PM,sandwich,main road
"Hi, Where are you located? quickly",query,10 PM,pasta,main road
Hey quickly,greeting,9 PM,burger,city center
"Hello, Good evening please",greeting,6 PM,sandwich,city center
"Hey, Hello please",greeting,10 PM,burger,downtown
"Hey, Hey quickly",greeting,8 PM,burger,downtown
"Hello, Hey please",greeting,6 PM,burger,downtown
"Hi, Send me a burger right now",order,10 PM,pasta,city center
"Hi, Order food for me right now",order,6 PM,pasta,city center
"Hey, Hi right now",greeting,7 PM,pasta,city center
Hello please,greeting,8 PM,sandwich,downtown
"Hey, Food quality is bad right now",complaint,8 PM,burger,near mall
"Hello, Food quality is bad right now",complaint,10 PM,biryani,downtown
What are your timings? please,query,9 PM,biryani,main road
"Hi, I want to order pizza",order,10 PM,pizza,main road
I want to order pizza right now,order,8 PM,pasta,near mall
"Hello, I don’t need my order anymore right now",cancel,7 PM,biryani,main road
I want to order pizza right now,order,7 PM,burger,main road
My order is late right now,complaint,10 PM,sandwich,city center
"Hi, I am not happy with service please",complaint,8 PM,biryani,city center
"Excuse me, I’d like to place an order please",order,6 PM,burger,main road
"Hey, This is disappointing quickly",complaint,7 PM,pasta,downtown
Food quality is bad quickly,complaint,9 PM,biryani,main road
"Hey, Good evening please",greeting,7 PM,pasta,city center
"Hey, Order food for me right now",order,6 PM,burger,city center
"Hello, Hey quickly",greeting,8 PM,pasta,near mall
"Hey, I don’t need my order anymore quickly",cancel,7 PM,sandwich,downtown
"Hello, Cancel my order right now",cancel,7 PM,pizza,city center
I am not happy with service right now,complaint,8 PM,sandwich,main road
"Excuse me, I don’t need my order anymore please",cancel,10 PM,biryani,city center
"Hey, Hey quickly",greeting,9 PM,pasta,downtown
Book a table for 2 right now,reservation,10 PM,pasta,near mall
"Excuse me, I’d like to place an order please",order,10 PM,pizza,city center
"Excuse me, I don’t need my order anymore quickly",cancel,6 PM,burger,downtown
"Excuse me, Good evening",greeting,8 PM,pasta,city center
"Hello, Hi",greeting,8 PM,sandwich,main road
I want chicken biryani,order,8 PM,burger,near mall
"Hi, What is on the menu?",query,7 PM,pizza,main road
Reserve a table tonight,reservation,6 PM,pasta,city center
Hello quickly,greeting,7 PM,burger,near mall
"Hey, Good evening right now",greeting,10 PM,biryani,main road
"Hello, Order food for me please",order,6 PM,burger,city center
"Hey, Hello",greeting,7 PM,pizza,near mall
"Hey, Cancel my booking",cancel,10 PM,burger,city center
"Hi, What is on the menu? please",query,6 PM,burger,downtown
"Hi, I am not happy with service",complaint,7 PM,pizza,main road
"Hi, Cancel my booking please",cancel,8 PM,biryani,downtown
"Hello, What is on the menu? right now",query,8 PM,pizza,main road
"Hello, I am not happy with service quickly",complaint,9 PM,pizza,downtown
"Excuse me, My order is late right now",complaint,6 PM,burger,downtown
"Hi, My order is late quickly",complaint,7 PM,biryani,near mall
"Hi, Hello right now",greeting,10 PM,pizza,main road
"Hi, Hi right now",greeting,9 PM,burger,city center
"Hey, Hey quickly",greeting,9 PM,burger,main road
"Hey, Good evening please",greeting,6 PM,pizza,downtown
"Excuse me, Send me a burger please",order,6 PM,burger,downtown
"Hello, Cancel my order quickly",cancel,6 PM,sandwich,near mall
"Hello, Hey quickly",greeting,7 PM,sandwich,downtown
"Excuse me, I want to order pizza quickly",order,10 PM,biryani,near mall
"Hello, Order food for me right now",order,6 PM,pizza,main road
"Hello, Book a seat for dinner right now",reservation,7 PM,pizza,near mall
"Excuse me, Hey please",greeting,10 PM,pasta,near mall
"Hi, I need a reservation please",reservation,10 PM,pasta,main road
"Hey, Reserve a table tonight",reservation,8 PM,pizza,main road
"Hey, Book a seat for dinner right now",reservation,8 PM,pizza,city center
"Excuse me, Cancel my booking quickly",cancel,9 PM,burger,city center
"Excuse me, I want to order pizza",order,7 PM,pizza,downtown
My order is late please,complaint,6 PM,pasta,city center
"Hi, Do you offer delivery?",query,6 PM,burger,downtown
"Hi, I’d like to place an order",order,6 PM,sandwich,downtown
I want to order pizza please,order,8 PM,biryani,main road
"Hi, Table for 4 at 8 PM please",reservation,10 PM,pasta,city center
Table for 4 at 8 PM,reservation,7 PM,pasta,city center
"Hi, Cancel my order right now",cancel,6 PM,burger,main road
"Hey, Book a seat for dinner please",reservation,6 PM,pasta,main road
"Hello, What is on the menu? right now",query,6 PM,sandwich,near mall
"Hey, Hello",greeting,9 PM,pasta,near mall
I don’t need my order anymore right now,cancel,6 PM,pasta,downtown
"Hello, Book a seat for dinner",reservation,10 PM,pizza,downtown
"Excuse me, Cancel my booking please",cancel,10 PM,pasta,near mall
"Hi, My order is late quickly",complaint,7 PM,pasta,main road
"Excuse me, Hey",greeting,9 PM,pizza,main road
"Hello, Hi quickly",greeting,9 PM,sandwich,downtown
"Hey, Good evening",greeting,8 PM,sandwich,downtown
"Hey, Reserve a table tonight",reservation,8 PM,pasta,city center
"Hello, I’d like to place an order quickly",order,8 PM,pasta,near mall
"Excuse me, Table for 4 at 8 PM please",reservation,9 PM,biryani,city center
Order food for me please,order,8 PM,burger,main road
Cancel my order right now,cancel,8 PM,burger,city center
"Hello, Good evening quickly",greeting,8 PM,sandwich,downtown
"Hi, Reserve a table tonight quickly",reservation,6 PM,pizza,main road
"Hey, I want to order pizza please",order,9 PM,pizza,near mall
"Hey, What are your timings? quickly",query,8 PM,biryani,near mall
"Excuse me, I’d like to place an order quickly",order,7 PM,biryani,city center
"Hello, Book a seat for dinner please",reservation,10 PM,sandwich,city center
Hey,greeting,10 PM,pizza,city center
"Excuse me, Food quality is bad please",complaint,7 PM,biryani,main road
"Hello, I need a reservation",reservation,8 PM,pizza,city center
"Hi, Hey",greeting,8 PM,pizza,downtown
"Excuse me, What are your timings? please",query,9 PM,pizza,city center
"Hi, I want to cancel reservation please",cancel,9 PM,pasta,main road
"Hello, What is on the menu? please",query,10 PM,biryani,downtown
"Excuse me, Cancel my order",cancel,10 PM,biryani,main road
"Excuse me, I’d like to place an order please",order,10 PM,pasta,main road
"Hey, Where are you located? please",query,10 PM,pizza,near mall
"Hi, I want chicken biryani please",order,9 PM,sandwich,main road
"Hi, Book a seat for dinner quickly",reservation,8 PM,biryani,main road
"Hey, I am not happy with service quickly",complaint,9 PM,sandwich,city center
"Hello, Cancel my order please",cancel,9 PM,biryani,main road
"Hey, I am not happy with service please",complaint,9 PM,pizza,near mall
Food quality is bad right now,complaint,10 PM,burger,near mall
What are your timings?,query,6 PM,pasta,near mall
Table for 4 at 8 PM please,reservation,10 PM,biryani,main road
I need a reservation quickly,reservation,6 PM,sandwich,main road
"Hi, I’d like to place an order",order,8 PM,sandwich,city center
Table for 4 at 8 PM please,reservation,6 PM,burger,main road
"Hey, Hey",greeting,7 PM,pasta,city center
"Hey, Food quality is bad",complaint,7 PM,burger,city center
"Hey, Table for 4 at 8 PM",reservation,6 PM,pasta,city center
I don’t need my order anymore please,cancel,9 PM,biryani,main road
"Excuse me, Cancel my booking right now",cancel,6 PM,burger,main road
"Hi, Food quality is bad quickly",complaint,6 PM,pasta,main road
"Hello, Table for 4 at 8 PM quickly",reservation,7 PM,burger,downtown
"Hi, Cancel my order quickly",cancel,8 PM,sandwich,near mall
"Hi, I’d like to place an order please",order,7 PM,pasta,main road
"Hi, Hello quickly",greeting,9 PM,burger,downtown
"Excuse me, Order food for me quickly",order,9 PM,sandwich,main road
"Hey, Hi quickly",greeting,7 PM,pasta,near mall
What is on the menu? right now,query,8 PM,burger,city center
"Hi, Hey right now",greeting,10 PM,burger,downtown
"Excuse me, This is disappointing quickly",complaint,6 PM,biryani,main road
Where are you located? quickly,query,6 PM,biryani,downtown
"Hello, Hi quickly",greeting,9 PM,pizza,main road
"Excuse me, Cancel my booking please",cancel,6 PM,pizza,near mall
"Excuse me, I need a reservation right now",reservation,9 PM,biryani,main road
"Hi, Hey right now",greeting,8 PM,sandwich,main road
"Hey, Cancel my booking right now",cancel,9 PM,pasta,near mall
"Hi, My order is late quickly",complaint,8 PM,pizza,main road
"Hello, Hi right now",greeting,7 PM,pasta,main road
"Hey, I’d like to place an order right now",order,8 PM,biryani,city center
"Excuse me, Hello",greeting,6 PM,burger,main road
I want chicken biryani quickly,order,9 PM,pasta,near mall
Cancel my order quickly,cancel,6 PM,biryani,city center
Do you offer delivery? right now,query,10 PM,biryani,near mall
"Hey, My order is late right now",complaint,9 PM,pasta,downtown
"Hey, Good evening right now",greeting,10 PM,pasta,downtown
Book a table for 2 quickly,reservation,6 PM,sandwich,main road
"Hey, Do you offer delivery? please",query,7 PM,burger,city center
"Hello, What are your timings? please",query,7 PM,sandwich,near mall
"Hey, Reserve a table tonight right now",reservation,8 PM,sandwich,main road
"Excuse me, I want to cancel reservation quickly",cancel,7 PM,biryani,downtown
"Excuse me, Do you offer delivery? right now",query,10 PM,pasta,city center
"Hello, This is disappointing please",complaint,9 PM,sandwich,city center
I’d like to place an order,order,10 PM,biryani,city center
"Hi, I am not happy with service please",complaint,9 PM,biryani,downtown
"Hey, I want to cancel reservation",cancel,10 PM,pizza,city center
"Hey, This is disappointing",complaint,7 PM,sandwich,near mall
Hi right now,greeting,10 PM,burger,downtown
"Excuse me, This is disappointing quickly",complaint,8 PM,burger,main road
My order is late please,complaint,9 PM,pizza,city center
"Hi, Hey right now",greeting,9 PM,biryani,main road
"Hi, What are your timings?",query,7 PM,pizza,city center
"Hi, I want chicken biryani right now",order,8 PM,burger,near mall
"Hi, What is on the menu? please",query,8 PM,sandwich,city center
"Excuse me, I am not happy with service",complaint,7 PM,pasta,main road
Cancel my booking quickly,cancel,10 PM,pasta,downtown
"Hello, I want to cancel reservation",cancel,9 PM,sandwich,near mall
"Excuse me, This is disappointing quickly",complaint,10 PM,pasta,downtown
"Hey, Table for 4 at 8 PM",reservation,10 PM,sandwich,main road
"Hello, My order is late right now",complaint,7 PM,pasta,near mall
"Hi, I need a reservation right now",reservation,10 PM,sandwich,main road
Hey right now,greeting,7 PM,pasta,downtown
"Hello, Reserve a table tonight",reservation,6 PM,pizza,city center
"Hi, Send me a burger quickly",order,6 PM,pizza,city center
